Model,Split,Pearson_DockQ,Spearman_DockQ,MSE_DockQ,Avg_PerComplex_Pearson_DockQ,Avg_PerComplex_Spearman_DockQ,Pearson_TM,Spearman_TM,MSE_TM
Baseline (Ranking Confidence),val,0.7777,0.7861,0.0473,0.2715,0.1924,0.7685,0.8206,0.1162
DeepSet_2025-05-21_21-04-27,val,0.8737,0.8600,0.0212,0.3503,0.2959,0.7617,0.7458,0.2183
Baseline (Ranking Confidence),test+val,0.7777,0.7444,0.0639,0.3284,0.2822,0.7042,0.7567,0.0913
DeepSet_2025-05-21_21-04-27,test+val,0.8420,0.7934,0.0325,0.4215,0.3993,0.5819,0.5260,0.2156
Baseline (Ranking Confidence),test,0.8183,0.7420,0.0817,0.3911,0.3810,0.6852,0.7063,0.0646
DeepSet_2025-05-21_21-04-27,test,0.8229,0.7042,0.0448,0.4998,0.5130,0.4600,0.2193,0.2127
Baseline (Ranking Confidence),train,0.7557,0.7334,0.0760,0.2170,0.1806,0.6496,0.7022,0.0920
DeepSet_2025-05-21_21-04-27,train,0.8932,0.8825,0.0272,0.3489,0.3516,0.6773,0.6440,0.1874
