,mean,std,skew,kurtosis,count,missing_pct
dockq,0.3529565120923009,0.31811461058026447,0.2560777446088803,-1.6505879874838782,9014,0.0
ptm,0.6880275127579322,0.13992085746126115,-0.05749548473338698,-1.009934361282232,9014,0.0
iptm,0.5611515420457067,0.2655418746346102,-0.10365422102310347,-1.4810996693167349,9014,0.0
tm_normalized,0.7089197026847126,0.1888204188826492,0.028797824374635874,-1.1895223606524636,9014,0.0
pae_col_mean,28.991820568040705,3.7915482875769144,-2.3221068743230924,7.132728660341367,9014,0.0
pae_col_median,29.00173625783114,3.870121040174155,-2.295843424921774,6.71255388807674,9014,0.0
pae_col_std,0.5692443551675654,0.8783001248651626,3.5321557128214525,16.18548511132139,9014,0.0
ca_distances_col_mean,60.401835877059064,28.457100627316162,1.0276551658796755,0.8554748806975501,8795,2.429554027069004
ca_distances_col_median,60.948754184933264,30.03109908848458,0.9986877530276153,0.5892147735007955,8795,2.429554027069004
ca_distances_col_std,10.089331548352211,8.536921465889254,0.7908678710046559,-0.08549455842233877,8795,2.429554027069004
